,url,content,source,bias
0,http://www.newsmax.com/DrAlvedaCKing/MLK-Dream-March-Washington/2013/08/22/id/521843,fifty year ago a valiant group of people from across america and around the globe embark on a march on washington    while there have be many marche on washington possibly before and certainly afterward the 1963 march on washington remain the premier example of how unity of heart and spirit can transform a community a nation and a worldmy parent ad and naomi king attend the march and be there when their famous brother and brotherinlaw respectively deliver the now famous I have a dream speechback then they be march for job decent housing and decent education of course then as well as now job housing and education remain in the category of issue that impact all human being from a common perspectiveafter all everyone need some form of income to provide food and shelter and we all need some form of intellectual enlightenmentfifty year later the march have take on a different flavor and be more causeoriented than the counterpart of day go by the 2013 march include theme that go beyond those basic demand of 1963history teach we that cause can divide people while agape love can unite during his lifetime my uncle m l speak of a dream he speak of a beloved community    for the last several day people have tempt I to delve into the political melee about who be right with respect to one cause or anotheryet I still cling to the hope that agape love will take the place of political and moral turpitude and that people will rise above debate about tolerance and reach instead for compassion and transformationi will join the hundred of thousand in dc over the next few day I m ask you to join we and if you can not come please pray with we some of the upcoming event promise to be exciting and soulstirre as my cousin king center ceo bernice a king a convener of the nationwide and global mobilization say    the response to our call to commemorate the march on washington and my father s I have a dream speech have be overwhelm    she say    our coalition have organize a wonderful diverse program which begin in atlanta continue for eight day in washington dc and culminate with a global bellringing we expect hundred of thousand of people to join we in the nation s capital for this historic event and many more to take part worldwide in their community    on sunday aug 25 the king center will celebrate the 50th anniversary of martin luther king jr s I have a dream speech by participate in a gospel brunch sponsor by the intercontinental hotel resort at 1130 be in the grand ballroom of the willard intercontinental 1401 pennsylvania ave nw washington dc dr king put the finishing touch on his famous speech in his suite at the willard hotel the night before the transformational aug 28 1963 march on washington and civil right rallyon tuesday aug 27 the king center will cohost the k12th grade educational initiative at the school without wall    a washington dc public school the event be for student but the public be invite toor by go to http officialmlkdream50com my mother naomi king and my cousin dr angela farris watkin be slate to speak at the forum that daythe king center along with the national park service and other be cosponsor a full day of activity on aug 28 the actual anniversary of the 1963 march on washington and dr king s I have a dream speech there will be an interfaith service from 830 am prelude to 1030 be at shiloh baptist church 1500 9th street nw washington dcthat afternoon there will be a let freedom ring call to action and commemoration ceremony from 11 be to 4 pm at the lincoln memorial feature remark from president obama former president jimmy carter and bill clinton the king family elect official international dignitary celebrity youth and leader from national and international organizationsthe program be global in nature and will include performance by a haka team from new zealand and junkanoo performer from the bahamasconfirme program participant include kid president jaime fox peter and paul hill harper soledad o brien lynda johnson robb bebe winan shirley caesar heather headley and other to be announce a song I write    let freedom ring    will also be perform that dayor go to http officialmlkdream50combernice say her father s call to let freedom ring in his speech will be answer with program and bellringe ceremony across the nation on at 3 pm eastern standard time on aug 28 in addition to the activity schedule for washington dc program celebrate the 63 march and dr king s dream and bellringe ceremony have also be schedule in place as diverse as montgomery ala little rock ark    rocky mountain national park colo stone mountain roswell rome and atlanta ga honolulu hawaii topeka kan louisville ky boston mass    chaska minn tougaloo college jackson greenwood and columbus miss    jefferson city mo    amherst concord isle of shoal nashua north conway pelham and mt washington nh new york city and nyack ny delaware and granville ohio allentown lafayette college and allegheny college pa lookout mountain tenn austin houston and dallas texas marion cross school in norwich vt and the university of virginia in charlottesville va with more be add every daybellringing program will take place outside the united states at 3 pm in their respective time zone activity be also plan in kathmandu nepal lutry and montreaux switzerland monrovia liberia london and tokyoin my heart of heart I truly believe that we all long to be free at last    I m not sure how many of we remember the rest of the phrase from that speech deliver so long ago    thank god almighty we re free at last    as we approach the march and the bell ring ceremony let we pray for each other and love one another so that we can ascend above the loom abyss that threaten to reach that high ground,newsmax,2
1,https://www.reuters.com/article/us-usa-trump-coal/president-trump-cant-stop-u-s-coal-plants-from-retiring-idUSKCN1P80BY,"     more we coalfire power plant be shut in president donald trump s first two year than be retire in the whole of barack obama s first term despite the republican s effort to prop up the industry to keep a campaign promise to coalmine state in total more than 23400 megawatt mw of coalfired generation be shut in 20172018 versus 14900 mw in 20092012 accord to datum from and the us energy information administration eia  
 trump have try to roll back rule on climate change and the environment adopt during the obama administration to fulfill pledge to voter in state like west virginia and wyome but the second high year for coal shutdown be in trump s second year 2018 at around 14500 megawatt follow a peak at about 17700 megawatt in 2015 under obama the number of we coal plant have continue to decline every year since coal capacity peak at just over 317400 mw in 2011 and be expect to keep fall as consumer demand power from clean and less expensive source of energy cheap natural gas and the rise use of renewable power like solar and wind have keep electric price relatively low for year make it uneconomic for generator to keep invest in old coal and nuclear plant generator say they plan to shut around 8422 mw of coalfired power and 1500 mw of nuclear in 2019 while add 10900 mw of wind 8200 mw of solar and 7500 mw of gas accord to and eia datum the prediction come from estimate compile by thomson and us energy information administration datum since take office in january 2017 the trump administration have announce its intention to leave the 2015 paris agreement on climate change and be relax obamaera rule on emission from power plant as it seek to boost domestic production of oil gas and coal u emission of carbon dioxide the main greenhouse gas spike in 2018 after fall for the previous three year as cold weather spur gas demand for heating and the booming economy push plane and truck to guzzle fuel accord to a study by rhodium group an independent research group after fall to 5144 million tonne in 2017 the low since 1992 the eia project we energyrelate carbon emission will rise to 5299 million tonne in 2018 us president donald trump speak during a roundtable discussion on border security and safe community with state local and community leader in the cabinet room of the white house in washington we january 11 2019 leah milli 
  there will be a limit to what increasingly cheap renewable power and continuously cheap natural gas can deliver with respect to emission reduction    say john larsen a director at rhodium group who lead the firm s power sector research note the rise use of gas to produce power as coal plant shut natural gas emit about half the carbon as coal the trump administration have also try to slow the retirement of coal and nuclear plant through a directive in 2017 from energy secretary rick perry to subsidize the age unit because they make the electric grid more resilient that plan be bash by advocate for gas renewable power and consumer and unanimously reject by the us federal energy regulatory commission ferc    lead by former chairman kevin mcintyre the plan could resurface now that trump have a chance to replace mcintyre who die on jan 2",reuters,1
2,https://www.theguardian.com/uk-news/2017/may/23/manchester-attack-city-shock-search-victims-continues,"ariana grande have just take her final bow the house light have come up and 18000 concertgoer be file cheerfully towards the door when the excitable hubbub inside manchester arena be suddenly shatter manchester arena attack what we know so far read more for a split second there be silence then the scream begin    oh my god    say one woman who be film at the moment the pipe music be puncture by the blast    what s go on what just happen  
  the bang echo around the foyer of the arena and people start to run    say 17yearold oliver jones who attend the concert with his 19yearold sister    I see people run and scream in one direction and then many be turn around to run back the other way security be run out as well as the fan and concertgoer  
 teenager rush for the exit some clambering over barrier to drop into the stairwell a woman in a wheelchair be trap by the crowd accord to karen ford who have take her daughter to the concert    she be absolutely hysterical bless she people be just push past she so I hold they back while she get out of the stairwell    she tell the bbc 
  the problem be there be a lot of child there without parent there be no one to calm they down  
 play video 022 footage from inside manchester arena at moment of explosion video terrifying as it be for the fan inside it be those in the foyer just outside the concert hall who witness the full horror andy holey be wait in the lobby for his wife and daughter exchange chitchat with a member of the arena staff when he be fling nearly 10 metre through a set of door by the enormous blast he say    when I get up and walk around there be about 30 people scatter everywhere some of they look dead they might have be unconscious but there be a lot of fatality    he tell the bbc manchester arena bombing saffie rise roussos eight name as second victim of suicide attack late read more he rush to find his wife and daughter inside    when I couldn t find they I go outside and look through some of the body to try to find my family    holey say they be eventually reunite outside emma johnson be wait at the top of the foyer stair for her two teenage daughter when she idly spot among the crowd someone wear an incongruous bright red top under which be what she describe as risen bit    the person she believe be the bomber she say    it be that which stand out because it be so intense among the crowd of people as quick as I see it the explosion happen 
  your ear it be so loud you see this flash of light and there be shrapnel everywhere the glass explode and people be scream    I have to get to my child  
  all I think about be these poor family every time I close my eye I envision a young girl cry for her mum because her head be in a pool of blood and her husband be try to bring she around  
 some witness describe nut and bolt among the bomb debris suggest the bomber may have pack the device with shrapnel to cause more injury paul dryhurst from sheffield say his niece claire booth and her daughter hollie 11 have be catch up the blast 
  when the bomb have go off the impact have break claire s jaw and broken hollie s leg they be both currently in hospital have nut and bolt remove    he say booth s sister kelly brewster who have be with they be still unaccounted for he say as the panicked crowd spill on to the street around the arena and the first of 60 ambulance race to the scene the city of manchester rally to help hotel open their door to take in many of the young people who find themselves separate from friend and relative or strand follow the lockdown of victoria station next door taxi driver switch off their meter to take people home or ferry they to hospital aj singh one of the driver who have work for much of the night tell channel 4 news    I ve have people who need to find love one I ve drop they off at the hospital they have no money they be strand we should come out and show whoever have do this manchester we re glue we stick together when it count  
 offduty doctor make their way to the eight great manchester hospital where the 59 casualty of the blast many of they child be take other work through the night endure what the prime minister theresa may would later call traumatic and terrible scene  
 on twitter the hashtag roomsformanchester be trend as local offer refuge to those affect    I m three minute from victoria station with a comfy sofa wifi charger and teabag    begin one message from laura o connor but alongside the offer of help social medium be host to desperate message from people whose daughter brother partner and friend have be at the concert and who have not manage to reach they after the blast stuart aspinall 25 say he be try to find his friend martyn hett after they be separate towards the end of the gig aspinall share photo of the 29yearold from stockport on facebook to help track he down he write    the more news that be come out the scarier this be get there be an explosion at the ariana grande concert tonight in manchester and I haven t see my friend martyn since  
 hett s brother dan say he be still miss on tuesday afternoon many relative frantically check the hospital where victim be take outside the city s royal infirmary a 17yearold girl part of a family from the philippines tell she be look for her mother whom she have lose in the chaos after the explosion her mother s partner have be injure but she have no information on her mum ellie ward17 have see her grandfather at the hospital after he be hit by shrapnel while wait to collect she and her friend after the show    he s ok but he s cut his cheek    she say say the 64yearold have be hit by fall glass while wait close to the merchandise stand in the corridor beneath the arena s tiere seating    he say he only realise what have happen when he feel the side of his head and it be bleed  
 as tuesday dawn on an unusually hush city daze teenager some accompany by their parent stumble from the city centre s hotel in the hope of finally make their way home hayley lunt who have shelter with her 10yearold daughter annabel at a nearby hotel say they have not sleep and be still shake 
  it s surreal it s almost like we weren t there    lunt say    it s like a bad movie I think it ll take a few day for we to come to term with it  
 the great manchester mayor andy burnham who have be brief throughout the night speak of the evil act that have occur    it be hard to believe what have happen here in the last few hour and to put into word the shock anger and hurt that we feel today    he say 
  these be child young people and their family that those responsible choose to terrorise and kill this be an evil act  
 he pay tribute to those who have open their door and offer lift to those affect call the city s response the well possible message to those who seek to divide we  
  we be grieve today but we be strong today it will be business as usual as far as possible in our great city    say burnham 
  manchester have have some dark day in the past    say sir richard leese the leader of the city council add    I don t think I can think of anything that match the horror of what happen last night  
 an nhs blood donation centre on norfolk street in the city centre say it have be force to turn people away ask they to make appointment for a later date such be the number of offer karen hodgin a nurse at the centre say there be a queue of about 70 people on tuesday morning she say people be be turn away unless they have the blood group o negative 
  most people be not the blood group that we need which be o negative the universal blood type it s not rare but it can go to anybody    she say wait outside the centre adam sharp 25 say he have come along with his colleague to try and do my bit     I ve register before but have never donate    he say stand nearby be jules boyle 24 with a large group of colleague she have wake to the news of the bombing    I ve never give blood before so I think it be an appropriate time    she say as the first name and photograph of the young victim begin to emerge the city remain on high alert shortly before noon great manchester police confirm they have arrest a 23yearold in chorlton in the south of the city armed police also seal off elsmore road a street in the fallowfield area of south manchester and carry out a control explosion on the house of the man they later name as the suicide bomber 22yearold salman ramadan abedi more than a dozen officer in unmarked car and police van also raid a flat in whalley range at about 1220pm believe to be the home of abedi s brother ismael who be 23 early on tuesday evening under a blue sky and a stillbright sun thousand of people begin gather in the city s albert square for a vigil attend by faith leader and political figure include burnham rudd the labour leader jeremy corbyn and tim farron leader of the liberal democrats to remember the dead and express a message of unity and defiance lu bowen 40 bring flower to lay say it have be a horrific day stand alongside her teenage daughter lucy she say    we watch it all unfold last night we feel we want to show a sense of solidarity and commitment that manchester always have",theguardian,0
3,https://www.newsmax.com/newsfront/jay-sekulow-robert-mueller/2019/07/25/id/925872/,"former special counsel robert mueller be try to defend the indefensible with his testimony on capitol hill wednesday about his report which be incoherent as write and bad as play out on live tv    jay sekulow one of president donald trump s attorney say thursday morning 
   the investigation be a terrible terrible waste of taxpayer money in my view    sekulow tell fox news    fox and friend     I think yesterday kind of encapsulate exactly what this be the president have be under this as he call it this witch hunt  
 however when mueller    the architect the person that s in charge of the investigation    be put on the stand    I can quote every commentator from every network not ours here but from every other network and they say disaster train wreck horrible     say sekulow    this be not I m sure what they expect  
 he add that house speaker nancy pelosi be try to put on a happy face at her press conference wednesday but it be surprising to I that even member of the democratic party be recognize that this be as one commentator call it a train wreck  
 there be 1213 prosecutor who twist and turn and try to do everything they could to come up with a collusion narrative a conspiracy narrative an obstruction narrative and even with all their twisting and turning and convolute legal theory they could not do it    say sekulow the most telling issue say sekulow be when mueller be ask about that exoneration nonsense  
  he be ask be there any historical precedent for the policy you put forward on exoneration and bob mueller say there be not    say sekulow    so the president be be treat differently than any other citizen in the context of a burden of proof  
 meanwhile sekulow say there have be no discussion as far as he know concern whether some of those who be arrest during the investigation will eventually be pardon but there have be a lot of injustice here",newsmax,2
4,https://www.reuters.com/article/us-usa-court-kavanaugh/democrats-protest-as-u-s-supreme-court-nominees-hearing-begins-idUSKCN1LK0YB,"washington      chaos engulf the us senate confirmation hearing for brett kavanaugh president donald trump s supreme court pick as democrats on tuesday complain bitterly about republican withhold document about the nominee s past white house service and shout protester be arrest in drove more than seven hour go by during the senate judiciary committee hearing before kavanaugh the conservative federal appeal court judge trump select for a lifetime job on the top us judicial body get to deliver his open statement kavanaugh nominate by a president who have often criticize the federal judiciary tell the senator that a judge must be independent not sway by public pressure our independent judiciary be the crown jewel of our constitutional republic  
 with democratic senator repeatedly interrupt the committee s republican chairman chuck grassley at the outset of the hearing the session quickly become a ruckus us capitol police say 61 protester be remove from the room and charge with disorderly conduct along with nine more outside the hearing democrats decry the withholding of the document and seek to have the proceeding adjourn as grassley struggle to maintain order 
  this be the first confirmation for a supreme court justice I ve see basically accord to mob rule    republican senator john cornyn say a characterization democrats reject 
  what we ve hear be the noise of democracy    democratic senator dick durbin say protester mostly woman take turn yell as senator speak shout    this be a travesty of justice     our democracy be break and vote no on kavanaugh demonstrator voice concern about what they see as the threat pose by kavanaugh to abortion right healthcare access and gun control democratic senator cory booker appeal to grassley s sense of decency and integrity and say the withholding of the document by republicans and the white house leave lawmaker unable to properly vet kavanaugh 
  we can not possibly move forward we have not have an opportunity to have a meaningful hearing    democratic senator kamala harris say grassley deem the democrats request to halt the hearing out of order and accuse they of obstruction republicans hold a slim senate majority and can confirm kavanaugh if they stay united there be no sign of republican defection trump blast the democrats on twitter say the hearing be truly a display of how mean angry and despicable the other side be and accuse they of look to inflict pain and embarrassment on kavanaugh if confirm kavanaugh 53 be expect to move the court which already have a conservative majority far to the right senate democratic leader have vow a fierce fight to try to block his confirmation democrats signal they would press kavanaugh on abortion gun right and presidential power when they get to question he start on wednesday in a hearing due to run through friday democrats have demand in vain to see document relate kavanaugh s time as staff secretary to republican former president george w bush from 2003 to 2006 that job involve manage paper flow from adviser to bush republicans also have release some but not all document concern kavanaugh s two prior year as a lawyer in bush s white house counsel s office us supreme court nominee judge brett kavanaugh speak during a senate judiciary committee confirmation hearing on capitol hill in washington we september 4 2018 joshua roberts republicans have say democrats have more than enough document to assess kavanaugh s record include his 12 year of judicial opinion as a judge on the us court of appeal for the district of columbia circuit kavanaugh sit finger intertwine quietly stare ahead at committee member as protester in the audience scream while be drag out of the room he occasionally jot note on paper when he finally get to speak kavanaugh call the supreme court the last line of defense for the separation of power in the us government    and the right and liberty guarantee by the constitution  
  the supreme court must never be view as a partisan institution    add kavanaugh who also pay tribute to his family and the justice he be nominate to replace the retire anthony kennedy republican orrin hatch accuse democratic senator of political opportunism note    we have folk who want to run for president    though he do not mention any by name there have be speculation booker and harris might consider 2020 presidential run 
  I think we ought to have this loudmouth remove    hatch say as the hearing pause for a lunch break fred guttenberg whose daughter who be kill in the parkland florida high school mass shooting in february try to talk to kavanaugh but the nominee turn away video of the encounter be share widely on social medium 
  I guess he do not want to deal with the reality of gun violence    guttenberg write on twitter afterward white house spokesman raj shah say security intervene before kavanaugh could shake guttenberg s hand the democratic frustration that boil over on tuesday have be simmer for more than two year democrat have accuse senate republican leader of steal a supreme court seat by refuse to consider democratic former president barack obama s nominee to the high court merrick garland in 2016 allow trump to fill a supreme court vacancy instead republicans also last year reduce the margin for advance supreme court nomination from 60 vote in the 100seat senate to a simple majority in order to force through the confirmation of trump s first high court nominee neil gorsuch the senate be likely to vote on confirmation by the end of september the court begin its next term in october the hearing give democrat a platform to make their case against kavanaugh ahead of november s congressional election in which they be seek to seize control of congress from republicans liberal be concern kavanaugh could provide a decisive fifth vote on the ninejustice court to overturn or weaken the landmark 1973 roe v wade rule legalize abortion nationwide kavanaugh be likely to be question about his view on investigate sit president and special counsel robert mueller s investigation into russian meddling in the 2016 we presidential election and possible collusion between moscow and trump s campaign",reuters,1
5,https://www.theguardian.com/world/2020/jul/12/500000-hongkongers-cast-protest-vote-against-security-law,"hundred of thousand of hong kong citizen queue to cast ballot over the weekend in what the chineserule city s opposition camp say be a symbolic protest vote against a tough national security law directly impose by beijing the unofficial poll will decide the strong prodemocracy candidate to contest election for the legislative council in september when those candidate will aim to ride a wave of antichina sentiment stir by the law to seize control from probeije rival for the first time while the primary be only for voter in the opposition camp observer be watch closely as they say the turnout will serve as a test of broad sentiment about the law which critic say gravely undermine the city s freedom 
  a high turnout will send a very strong signal to the international community that we hongkonger never give up    say sunny cheung 24 one of a batch of aspire young democrat out lobby and give stump speech    and that we still stand with the democratic camp we still support democracy and freedom play video 413 be china push hong kong far away with its new security law    video explainer defy warning from a senior hong kong official that the vote might fall foul of the national security law resident young and old flock to more than 250 polling station across the city man by thousand of volunteer long queue form down street in residential estate and at business turn polling station with people cast a ballot use their phone after have their identity verify organiser say 500000 people have vote by late afternoon on sunday in the city of 75 million the full turnout be expect to be announce on monday morning after two full day of vote this weekend the law punish what china describe broadly as secession subversion terrorism and collusion with foreign force with up to life in prison and allow mainland security agent to operate officially in hong kong for the first time",theguardian,0
6,https://www.theguardian.com/us-news/2016/jul/25/bernie-sanders-democratic-convention-dnc-chair-resigns,"bernie sander will on monday urge supporter to consider how far superior hillary clinton be to the alternative as democrat seek to defuse outbreak of tension at the start of their fourday national convention in philadelphia debbie wasserman schultz to resign as dnc chair as email scandal rock democrat read more in a crucial opening night address to delegate the vermont senator will appear alongside first lady michelle obama as the party seek a display of unity in contrast with republican infighting in cleveland last week the starstudde convention get off to a rocky start on sunday when democratic national committee chair debbie wasserman schultz be force to announce her resignation on the eve of proceeding follow revelation of bias against sander during the long and bitter primary contest with clinton but the sander campaign seem keen to put the fight behind it over the weekend despite the leak email which show dnc staff seek to exploit his religious belief and wasserman schultz openly dismiss the notion that he could ever win 
  sander will make it clear that hillary clinton be by far superior to donald trump on every major issue from economic and health care to education and the environment    say his spokesman michael briggs in a statement before news of wasserman schultz s resignation in a surprisingly mute response to the resignation sander say she have make the right decision but pay tribute to her year of service  
 despite tense relation between the campaign during the primary fight sander have swing rapidly behind team clinton since a fullthroated endorsement speech two week ago in new hampshire claim he have move the party s nominee to the left in a series of negotiation over policy 
  sander will stress that the most progressive platform in democratic party history include agreement he reach with clinton to dramatically expand healthcare access and to make public college tuitionfree for student from family with annual income up to 125000 a year    say briggs in a preview of the monday night speech 
  in his remark sander also plan to rip into trump for siding with the koch brother and echo fossil fuel industry claim that climate change be a hoax despite the virtually unanimous scientific consensus that the warm planet be cause devastating harm  
 nevertheless some sander supporter be in an angry mood over the dnc email revelation and there be an ambivalent atmosphere at well reign over some event in philadelphia on sunday evening some activist plan demonstration and sitin in protest against the party s continued use of superdelegate in its nominating process but the sander campaign appear satisfied with the outcome of a rule committee meeting on saturday that propose a commission to reduce the number of the controversial unelected delegate in primary contest 
  this be a tremendous victory for senator sanders fight to democratise the democratic party and reform the democratic nominating process    say jeff weaver sander campaign manager    we be pleased to work with the clinton campaign to enact this historic commission  
 sander will use his speech to flag way in which supporter can continue push their agenda outside the mainstream 
   he will send a message to the convention and to the 13 million voter who support he that they have begin a political revolution to transform america and that the revolution our revolution continue    say briggs 
  together    sander will say    we continue the fight to create a government which represent all of we and not just the 1    a government base on the principle of economic social racial and environmental justice",theguardian,0
7,http://www.newsmax.com/Newsfront/christie-bridge-gate-scandal/2014/01/09/id/546182,"force his twotime campaign manager bill stepian to take his name out of the running to lead new jersey s republican party will meet personally with remain member of his staff to determine if further action need to be be take will go to fort lee to apologize to the mayor and the city s resident an embarrassed and humiliate new jersey gov chris christie on thursday apologize for the bridgegate scandal and say he have fire a top aide after fresh revelation that his staff play a key role in close some lane lead to the george washington bridge in what critic say be a political vendetta    I come out here to apologize to the people of new jersey    he say open what would be a twohour press conference    I apologize to the people of fort lee and I apologize to the state legislature    I be embarrassed and humiliate by the conduct of some of the people on my team    christie say thursday he have take the follow action kelly send the email to former port authority official david wildstein that apparently set off the scandal    time for some traffic problem in fort lee    she write    I terminate her employment because she lie to I    christie say on thursdaychristie say he have not have conversation with kelly since the email come out and she have not personally give he an explanation about why she lie abut her involvement but he say he be not interested in hear her explanationchristie also say stepian will be lose his lucrative contract as a consultant to the republican governor s association of which christie be chairmanalso on thursday the us attorney in new jersey announce he will open an investigation into the bridge lane closing the port authority office of inspector general have refer the matter to we and our office be review the matter to determine whether a federal law be implicate    say rebekah carmichael a spokeswoman for us attorney paul j fishman in a statement today    I have absolutely nothing to hide    christie say at his press conference    any question they want to ask I they can ask I have nothing to hide and this administration have nothing to hide    christie insist he have nothing to do with the lane closing which create havoc for hundred of thousand of resident but the governor take ultimate responsibility for the mistake that be make when the order come down to close lane on the bridge    action have consequence    he say    I have no knowledge of this issue in its planning and execution I be stun by the abject stupidity that be involve here this be handle in an callous an indifferent way    far christie say he want to assure the people of new jersey say he can not know what every employee be do but he s ultimately responsiblethe governor say he be sad and heartbroken that he be betray by longtime staffer whom he trust    prior to yesterday I believe if I look someone in the eye and ask they I would get an honest answer    he say in response to a reporter s question    I do that four week ago and I wound up be wrong    meanwhile christie insist that the email do not represent the type of environment I try to achieve    and deny that fort lee mayor mark sokolich be someone whose endorsement he have try to pursue    we pursue hundred    say christie    I do not remember any time we go after his endorsement I do not remember ever meet mayor sokolich until I see his picture last night on television I would not have be able to pick he out in a lineup    christie say the incident be make he do a great deal of soul search    and he do not know what he do to make his staff think their action would be appropriate    you always wonder what you could do differently    he say    I ve work over the last 12 year work on a reputation for honesty and directness and blunt talk    meanwhile christie refuse to speculate what the bridgegate scandal could do to his 2016 presidential aspiration because as for now he have no idea what the decisionmake process would look like at this time     I be enormously flatter that folk would talk about I as someone in their party that could run for president but I be nowhere near that consideration process I have not even be swear in for my second term as governor    I be not preoccupy with that job I be preoccupy with this job and as you can tell I have a lot to do    the george washington bridge be among the world s busy carry some 300000 vehicle on a typical day the abrupt and unexpected lane closure which last four day in september badly snarl traffic in the borough of fort lee at the new jersey end of the bridge critic say the shutdown be retribution against the democratic mayor of fort lee who do not endorse the governor s reelection effort the port authority of new york and new jersey which oversee the bridge say it be the result of a lastminute traffic study the email raise fresh question about the involvement of christie s administration 
  time for some traffic problem in fort lee    his aide bridget anne kelly write to a port authority executive in august the executive david wildstein reply in an email    get it  
 the email do not give a specific reason for the closing which leave furious commuter trap in traffic jam for hour the closing begin on the first day of school in fort lee a local new jersey paper report that as a result of the lane closures emergency responder be delay in attend to four medical situation one involve an unconscious 91yearold woman who later die of cardiac arrest and another car accident in which four people be injure the record quote a letter to the mayor of fort lee from responder say it take they twice as long to arrive on the spot in at least two case chairman of the republican governors association and enormously popular christie win his second term by a landslide in november garner vote from all side of the political spectrum but some question how far his blunt toughtalke jersey posturing will take he on the national stage christie be know for engage in shout match hurl insult and belittle challenger matthew hale an associate professor of political science at seton hall university in south orange new jersey say the grow scandal deal a huge blow to christie s political aspiration 
  the smoking gun be not quite in the governor s hand but these email show that it be awfully close to it    hale say 
  governor christie have spend an enormous amount of effort try to get away from the narrative that he be a bully    he say    these email destroy all of that effort in a single day  
 fort lee mayor mark sokolich say on cnn he be start to doubt that christie have be in the dark about the closing    I m actually root that the high elect official in the state of new jersey be not involve in this but I will tell you I m begin to question my judgment    he say political rival be quick to slam christie with the democratic national committee dnc call the revelation troubling and in line with christie s style 
  they also indicate what we ve come to expect from governor christie when people oppose he he exact retribution when people question he he belittle and snidely joke and when anyone dare to look into his administration he bully and attack    dnc chair debbie wasserman schultz say in a statement the bridge lane closure email be supply to the medium by wildstein the port authority executive in response to a subpoena issue by a panel of state lawmaker a longtime christie ally wildstein previously have admit order the lane closure and resign in december he be due to testify before the panel on thursday in the state capital of trenton deputy assembly speaker john wisniewski a democrat say the email show government at its bad  
  among other thing they call into serious question the honesty of this governor and his staff as a result of what have be reveal today this governor have a lot of explain to do    wisniewski say christie often tout his willingness to work with opponent as well as ally a stance see as a way of position himself as a national candidate able to close bitter partisan divide and win the white house a former prosecutor he be highly visible work with democratic we senator cory booker the former mayor of newark and he notably praise president barack obama in 2012 for his response to new jersey s need after superstorm sandy",newsmax,2
8,https://www.theguardian.com/world/2018/sep/26/trump-un-security-council-iran-united-nations,"the us president will preside over his first session of the body and difference over iran policy be certain to feature prominently donald trump will today preside over his first security council session where he be expect to face determined opposition from his fellow leader over his effort to isolate iran and his rejection of globalism donald trump be unlikely to forgive the laughter of the un read more the us envoy to the un nikki haley have predict the session would be the most watch security council meeting ever    but it also risk far deepen perception of trump s own increase isolation on the world stage a day after the un general assembly openly laugh at the former reality show host s boast about his achievement us ally around the table represent primarily by the uk s prime minister theresa may and the french president emmanuel macron side with russia and china in their opposition to trump s withdrawal from the 2015 nuclear deal with iran and be uneasy about we sabrerattle towards tehran macron meanwhile use his own address to the un general assembly on tuesday to present himself as the antithesis to trump and entrench his status as an alternative leader of the western world flatly reject trump s appeal for national patriotism to take precedence over multilateral action 
  nationalism always lead to defeat    macron say    if courage be lack in the defense of fundamental principle international order become fragile and this can lead as we have already see twice to global war we see that with our very own eye  
 while trump s address have be greet with a mix of giggle murmur long period of silence and with polite applause at the end the french president s speech be give a rapturous reception trump be chair the meeting because the we currently hold the rotate presidency of the security council the original plan be to devote the session to iran to allow trump to highlight iran s role in the syrian and yemeni conflict its missile development and the full range of what washington call tehran s malign activity however the administration come to fear that would also highlight the transatlantic rift over the iran nuclear deal from which trump withdraw in may as his fellow leader be equally determined to speak in defence of the agreement the iranian president hassan rouhani would also have have a right to attend and to speak in a session exclusively about his country the subject of wednesday s session have therefore be widen to counterproliferation include north korea but iran be still likely to be a central point of contention the trump administration have set out its campaign against iran at the un general assembly produce a special booklet outlaw regime chronicle iran s destructive activity  
 eu china and russia in move to sidestep we sanction on iran read more the administration send several senior official to a conference organise by antitehran activist unite against a nuclear iran uani    to denounce the iranian government the national security adviser john bolton issue a serious of threat say that iran would have hell to pay if it do not change its behaviour he single out the commander of the external arm of the islamic revolutionary guard corps qassem soleimani who have lead the iranian military campaign in syria in support of the assad regime and irgc operation in iraq 
  we will use every tool available to pursue soleimani and other like he    bolton say    iran s leadership will no long enjoy a life of security and luxury while their people suffer and starve  
 bolton stress that the campaign against soleimani would focus on funding and arm supply but ask ask for clarification later the us envoy on iran and the head of the state department iran action group brian hook do not rule out military action ask what bolton mean by use every available tool against soleimani hook say    I think it speak for itself  
  so look at iraq with soleimani the irgc be responsible for so much violence and bloodshed in the middle east and as part of restore our deterrence we will be focus on he and his operation    hook say in his own remark to the uani conference the secretary of state mike pompeo say that an iranianbacked militia be responsible for rocket attack against the us embassy compound in baghdad and the us consulate in basra in southern iraq he warn that the we would response directly against iran in the event of another such attack from iran or a militia deem to be an iranian proxy 
  the united states will hold the regime in tehran accountable for any attack that result in injury to our personnel or damage to our facility america will respond swiftly and decisively in defense of american life and we will respond against the source of the attack on american interest  
 the national iranian american council condemn the administration s rhetoric note bolton s role in the buildup to the illfated iraq invasion in 2003 
  no serious person believe that bolton and this administration be work towards a diplomatic end with iran    the niac statement say    he earn his credential in the bush white house as an iraq war architect he make his intention for war with iran wellknown as a private citizen and he be now put that plan into action",theguardian,0
